📋 正在生成样品列表...
  ✓ 添加样品: D2-20
  ✓ 添加样品: D2-21
  ✓ 添加样品: D2-2
  ✓ 添加样品: D2-3
  ✓ 添加样品: D2-4
  ✓ 添加样品: D2-5
  ✓ 添加样品: D2-6
  ✓ 添加样品: D2-7
  ✓ 添加样品: D2-8
  ✓ 添加样品: D2-9
  ✓ 添加样品: D3-1
  ✓ 添加样品: D3-2
  ✓ 添加样品: D3-3
  ✓ 添加样品: D4-10
  ✓ 添加样品: D4-1
  ✓ 添加样品: D4-2
  ✓ 添加样品: D4-3
  ✓ 添加样品: D4-4
  ✓ 添加样品: D4-5
  ✓ 添加样品: D4-6
  ✓ 添加样品: D4-7
  ✓ 添加样品: D4-8
  ✓ 添加样品: D4-9
  ✓ 添加样品: D5-1
  ✓ 添加样品: D5-2
  ✓ 添加样品: D5-3
  ✓ 添加样品: D6-1
  ✓ 添加样品: D6-2
  ✓ 添加样品: D6-3
  ✓ 添加样品: D6-4
  ✓ 添加样品: D6-5
  ✓ 添加样品: D6-6
  ✓ 添加样品: D6-7
  ✓ 添加样品: D6-8
  ✓ 添加样品: K1-1
  ✓ 添加样品: K1-2
  ✓ 添加样品: K2-10
  ✓ 添加样品: K2-11
  ✓ 添加样品: K2-12
  ✓ 添加样品: K2-14
  ✓ 添加样品: K2-15
  ✓ 添加样品: K2-16
  ✓ 添加样品: K2-17
  ✓ 添加样品: K2-18
  ✓ 添加样品: K2-19
  ✓ 添加样品: K2-1
  ✓ 添加样品: K2-20
  ✓ 添加样品: K2-21
  ✓ 添加样品: K2-22
  ✓ 添加样品: K2-23
  ✓ 添加样品: K2-2
  ✓ 添加样品: K2-3
  ✓ 添加样品: K2-4
  ✓ 添加样品: K2-5
  ✓ 添加样品: K2-7
  ✓ 添加样品: K2-8
  ✓ 添加样品: K2-9
  ✓ 添加样品: M-10
  ✓ 添加样品: M-11
  ✓ 添加样品: M-12
  ✓ 添加样品: M-13
  ✓ 添加样品: M-14
  ✓ 添加样品: M-15
  ✓ 添加样品: M-16
  ✓ 添加样品: M-1
  ✓ 添加样品: M-2
  ✓ 添加样品: M-3
  ✓ 添加样品: M-4
  ✓ 添加样品: M-5
  ✓ 添加样品: M-6
  ✓ 添加样品: M-7
  ✓ 添加样品: M-8
  ✓ 添加样品: M-9
  ✓ 添加样品: N10-10
  ✓ 添加样品: N10-11
  ✓ 添加样品: N10-12
  ✓ 添加样品: N10-13
  ✓ 添加样品: N10-14
  ✓ 添加样品: N10-15
  ✓ 添加样品: N10-16
  ✓ 添加样品: N10-1
  ✓ 添加样品: N10-2
  ✓ 添加样品: N10-3
  ✓ 添加样品: N10-4
  ✓ 添加样品: N10-5
  ✓ 添加样品: N10-6
  ✓ 添加样品: N10-7
  ✓ 添加样品: N10-8
  ✓ 添加样品: N10-9
  ✓ 添加样品: N11-1
  ✓ 添加样品: N11-2
  ✓ 添加样品: N11-3
  ✓ 添加样品: N11-4
  ✓ 添加样品: N11-5
  ✓ 添加样品: N11-6
  ✓ 添加样品: N11-7
  ✓ 添加样品: N11-8
  ✓ 添加样品: N12-1
  ✓ 添加样品: N12-2
  ✓ 添加样品: N12-3
  ✓ 添加样品: N12-4
  ✓ 添加样品: N12-5
  ✓ 添加样品: N12-6
  ✓ 添加样品: N12-7
  ✓ 添加样品: N12-8
  ✓ 添加样品: N12-9
  ✓ 添加样品: N2-10
  ✓ 添加样品: N2-11
  ✓ 添加样品: N2-12
  ✓ 添加样品: N2-1
  ✓ 添加样品: N2-2
  ✓ 添加样品: N2-3
  ✓ 添加样品: N2-4
  ✓ 添加样品: N2-5
  ✓ 添加样品: N2-6
  ✓ 添加样品: N2-7
  ✓ 添加样品: N2-8
  ✓ 添加样品: N2-9
  ✓ 添加样品: N3-10
  ✓ 添加样品: N3-11
  ✓ 添加样品: N3-12
  ✓ 添加样品: N3-13
  ✓ 添加样品: N3-14
  ✓ 添加样品: N3-15
  ✓ 添加样品: N3-16
  ✓ 添加样品: N3-17
  ✓ 添加样品: N3-18
  ✓ 添加样品: N3-19
  ✓ 添加样品: N3-1
  ✓ 添加样品: N3-20
  ✓ 添加样品: N3-21
  ✓ 添加样品: N3-22
  ✓ 添加样品: N3-23
  ✓ 添加样品: N3-2
  ✓ 添加样品: N3-3
  ✓ 添加样品: N3-4
  ✓ 添加样品: N3-5
  ✓ 添加样品: N3-6
  ✓ 添加样品: N3-7
  ✓ 添加样品: N3-8
  ✓ 添加样品: N3-9
  ✓ 添加样品: N4-1
  ✓ 添加样品: N4-2
  ✓ 添加样品: N6-1
  ✓ 添加样品: N8-10
  ✓ 添加样品: N8-2
  ✓ 添加样品: N8-4
  ✓ 添加样品: N8-5
  ✓ 添加样品: N8-6
  ✓ 添加样品: N8-7
  ✓ 添加样品: N8-8
  ✓ 添加样品: N8-9
  ✓ 添加样品: Nov-9
  ✓ 添加样品: P6497
  ✓ 添加样品: SG30
  ✓ 添加样品: SRR10321552
  ✓ 添加样品: SRR10321553
  ✓ 添加样品: SRR10321554
  ✓ 添加样品: SRR10321555
  ✓ 添加样品: SRR10321556
  ✓ 添加样品: SRR10321557
  ✓ 添加样品: SRR10321558
  ✓ 添加样品: SRR10321559
  ✓ 添加样品: SRR10321560
  ✓ 添加样品: SRR10321561
  ✓ 添加样品: SRR10321562
  ✓ 添加样品: SRR10321563
  ✓ 添加样品: SRR10321564
  ✓ 添加样品: SRR10321565
  ✓ 添加样品: SRR10321566
  ✓ 添加样品: SRR10321567
  ✓ 添加样品: SRR10321568
  ✓ 添加样品: SRR10321569
  ✓ 添加样品: SRR10321570
  ✓ 添加样品: SRR10321571
  ✓ 添加样品: SRR10321572
  ✓ 添加样品: SRR10321573
  ✓ 添加样品: SRR10321574
  ✓ 添加样品: SRR10321575
  ✓ 添加样品: SRR10321576
  ✓ 添加样品: SRR1046799
  ✓ 添加样品: SRR1046800
  ✓ 添加样品: SRR1047573
  ✓ 添加样品: SRR12021953
  ✓ 添加样品: SRR12021954
  ✓ 添加样品: SRR12021955
  ✓ 添加样品: SRR12021956
  ✓ 添加样品: SRR12021957
  ✓ 添加样品: SRR12021958
  ✓ 添加样品: SRR22980483
  ✓ 添加样品: SRR22980484
  ✓ 添加样品: SRR22980485
  ✓ 添加样品: SRR22980486
  ✓ 添加样品: SRR22980487
  ✓ 添加样品: SRR22980488
  ✓ 添加样品: SRR22980489
  ✓ 添加样品: SRR22980490
  ✓ 添加样品: SRR7532821
  ✓ 添加样品: SRR7532822
  ✓ 添加样品: SRR7532823
  ✓ 添加样品: SRR7532824
  ✓ 添加样品: SRR7532825
  ✓ 添加样品: SRR7532826
  ✓ 添加样品: SRR7532827
  ✓ 添加样品: SRR7532828
  ✓ 添加样品: SRR7532829
  ✓ 添加样品: SRR7532830
  ✓ 添加样品: SRR7532831
  ✓ 添加样品: SRR7532832
  ✓ 添加样品: SRR7532833
  ✓ 添加样品: SRR7532834
  ✓ 添加样品: SRR7532835
  ✓ 添加样品: SRR7532836
  ✓ 添加样品: SRR7532837
  ✓ 添加样品: SRR7532838
  ✓ 添加样品: SRR7532839
  ✓ 添加样品: SRR7532840
  ✓ 添加样品: SRR7532841
  ✓ 添加样品: SRR7532842
  ✓ 添加样品: SRR7532843
  ✓ 添加样品: SRR7532844
  ✓ 添加样品: SRR7532845
  ✓ 添加样品: SRR7532846
  ✓ 添加样品: SRR7532847
  ✓ 添加样品: SRR7532848
  ✓ 添加样品: SRR7532849
  ✓ 添加样品: SRR7532850
  ✓ 添加样品: SRR7532851
  ✓ 添加样品: T30-4
✅ 共找到 419 个样品

🧬 正在提取染色体信息...
✅ 共找到 12 条染色体/scaffold
📋 染色体列表（前10条）:
   • Chr01
   • Chr02
   • Chr03
   • Chr04
   • Chr05
   • Chr06
   • Chr07
   • Chr08
   • Chr09
   • Chr10
   ... 还有 2 条

🗄️  步骤1: 按染色体创建GenomicsDB数据库...
⚡ 并行处理 - 最大并发任务数: 22
  🔄 正在处理染色体: Chr01
