2026-02-02 15:34:51.466 - INFO - ====================================================================================================
2026-02-02 15:34:51.466 - INFO -  Kmer矩阵比较工具|Kmer Matrix Comparison Tool
2026-02-02 15:34:51.466 - INFO - ====================================================================================================
2026-02-02 15:34:51.466 - INFO - 文件1|File1: /share/org/YZWL/yzwl_lixg/project/06.longliuxing_BSA/68.三代数据组装和注释/55.全基因组kmer查询两个单倍型的kmer/hap1_group2_chr12_matrix.txt
2026-02-02 15:34:51.466 - INFO - 文件2|File2: /share/org/YZWL/yzwl_lixg/project/06.longliuxing_BSA/68.三代数据组装和注释/55.全基因组kmer查询两个单倍型的kmer/hap2_group9_chr12_matrix.txt
2026-02-02 15:34:51.466 - INFO - 输出前缀|Output prefix: /share/org/YZWL/yzwl_lixg/project/06.longliuxing_BSA/68.三代数据组装和注释/55.全基因组kmer查询两个单倍型的kmer/滑窗统计/unique
2026-02-02 15:34:51.466 - INFO - 窗口大小|Window size: 100.00K
2026-02-02 15:34:51.466 - INFO - 
2026-02-02 15:34:51.466 - INFO - ====================================================================================================
2026-02-02 15:34:51.466 - INFO -  步骤 1/4: 提取kmer序列集合|Step 1/4: Extract kmer sequence sets
2026-02-02 15:34:51.466 - INFO - ====================================================================================================
2026-02-02 15:34:51.466 - INFO - 提取kmer序列|Extracting kmer sequences: /share/org/YZWL/yzwl_lixg/project/06.longliuxing_BSA/68.三代数据组装和注释/55.全基因组kmer查询两个单倍型的kmer/hap1_group2_chr12_matrix.txt
2026-02-02 15:36:16.576 - INFO -   已读取|Read: 49.00M 行|lines
2026-02-02 15:36:18.284 - INFO -   已读取|Read: 50.00M 行|lines
2026-02-02 15:36:20.009 - INFO -   已读取|Read: 51.00M 行|lines
2026-02-02 15:36:21.704 - INFO -   已读取|Read: 52.00M 行|lines
2026-02-02 15:36:23.383 - INFO -   已读取|Read: 53.00M 行|lines
2026-02-02 15:36:25.098 - INFO -   已读取|Read: 54.00M 行|lines
2026-02-02 15:36:26.851 - INFO -   已读取|Read: 55.00M 行|lines
2026-02-02 15:36:28.561 - INFO -   已读取|Read: 56.00M 行|lines
2026-02-02 15:36:30.240 - INFO -   已读取|Read: 57.00M 行|lines
2026-02-02 15:36:31.929 - INFO -   已读取|Read: 58.00M 行|lines
2026-02-02 15:36:33.628 - INFO -   已读取|Read: 59.00M 行|lines
2026-02-02 15:36:35.320 - INFO -   已读取|Read: 60.00M 行|lines
2026-02-02 15:36:36.998 - INFO -   已读取|Read: 61.00M 行|lines
2026-02-02 15:36:38.680 - INFO -   已读取|Read: 62.00M 行|lines
2026-02-02 15:36:40.374 - INFO -   已读取|Read: 63.00M 行|lines
2026-02-02 15:36:42.067 - INFO -   已读取|Read: 64.00M 行|lines
2026-02-02 15:36:43.751 - INFO -   已读取|Read: 65.00M 行|lines
2026-02-02 15:36:45.457 - INFO -   已读取|Read: 66.00M 行|lines
2026-02-02 15:36:47.189 - INFO -   已读取|Read: 67.00M 行|lines
2026-02-02 15:36:48.911 - INFO -   已读取|Read: 68.00M 行|lines
2026-02-02 15:36:50.632 - INFO -   已读取|Read: 69.00M 行|lines
2026-02-02 15:36:52.340 - INFO -   已读取|Read: 70.00M 行|lines
2026-02-02 15:36:54.037 - INFO -   已读取|Read: 71.00M 行|lines
2026-02-02 15:36:55.757 - INFO -   已读取|Read: 72.00M 行|lines
2026-02-02 15:36:57.483 - INFO -   已读取|Read: 73.00M 行|lines
2026-02-02 15:36:59.190 - INFO -   已读取|Read: 74.00M 行|lines
2026-02-02 15:37:00.906 - INFO -   已读取|Read: 75.00M 行|lines
2026-02-02 15:37:02.628 - INFO -   已读取|Read: 76.00M 行|lines
2026-02-02 15:37:04.325 - INFO -   已读取|Read: 77.00M 行|lines
2026-02-02 15:37:06.064 - INFO -   已读取|Read: 78.00M 行|lines
2026-02-02 15:37:07.818 - INFO -   已读取|Read: 79.00M 行|lines
2026-02-02 15:37:09.585 - INFO -   已读取|Read: 80.00M 行|lines
2026-02-02 15:37:10.390 - INFO -   提取完成|Extracted: 80.45M 序列|sequences
2026-02-02 15:37:10.391 - INFO - 提取kmer序列|Extracting kmer sequences: /share/org/YZWL/yzwl_lixg/project/06.longliuxing_BSA/68.三代数据组装和注释/55.全基因组kmer查询两个单倍型的kmer/hap2_group9_chr12_matrix.txt
2026-02-02 15:37:12.080 - INFO -   已读取|Read: 1.00M 行|lines
2026-02-02 15:37:13.755 - INFO -   已读取|Read: 2.00M 行|lines
2026-02-02 15:37:15.446 - INFO -   已读取|Read: 3.00M 行|lines
2026-02-02 15:37:17.128 - INFO -   已读取|Read: 4.00M 行|lines
2026-02-02 15:37:18.865 - INFO -   已读取|Read: 5.00M 行|lines
2026-02-02 15:37:20.799 - INFO -   已读取|Read: 6.00M 行|lines
2026-02-02 15:37:22.586 - INFO -   已读取|Read: 7.00M 行|lines
2026-02-02 15:37:24.376 - INFO -   已读取|Read: 8.00M 行|lines
2026-02-02 15:37:26.194 - INFO -   已读取|Read: 9.00M 行|lines
2026-02-02 15:37:27.996 - INFO -   已读取|Read: 10.00M 行|lines
2026-02-02 15:37:30.129 - INFO -   已读取|Read: 11.00M 行|lines
2026-02-02 15:37:31.951 - INFO -   已读取|Read: 12.00M 行|lines
2026-02-02 15:37:33.781 - INFO -   已读取|Read: 13.00M 行|lines
2026-02-02 15:37:35.608 - INFO -   已读取|Read: 14.00M 行|lines
2026-02-02 15:37:37.431 - INFO -   已读取|Read: 15.00M 行|lines
2026-02-02 15:37:39.261 - INFO -   已读取|Read: 16.00M 行|lines
2026-02-02 15:37:41.071 - INFO -   已读取|Read: 17.00M 行|lines
2026-02-02 15:37:42.903 - INFO -   已读取|Read: 18.00M 行|lines
2026-02-02 15:37:44.739 - INFO -   已读取|Read: 19.00M 行|lines
2026-02-02 15:37:46.569 - INFO -   已读取|Read: 20.00M 行|lines
2026-02-02 15:37:49.155 - INFO -   已读取|Read: 21.00M 行|lines
2026-02-02 15:37:51.071 - INFO -   已读取|Read: 22.00M 行|lines
2026-02-02 15:37:52.965 - INFO -   已读取|Read: 23.00M 行|lines
2026-02-02 15:37:54.811 - INFO -   已读取|Read: 24.00M 行|lines
2026-02-02 15:37:56.650 - INFO -   已读取|Read: 25.00M 行|lines
2026-02-02 15:37:58.555 - INFO -   已读取|Read: 26.00M 行|lines
2026-02-02 15:38:00.404 - INFO -   已读取|Read: 27.00M 行|lines
2026-02-02 15:38:02.246 - INFO -   已读取|Read: 28.00M 行|lines
2026-02-02 15:38:04.098 - INFO -   已读取|Read: 29.00M 行|lines
2026-02-02 15:38:05.959 - INFO -   已读取|Read: 30.00M 行|lines
2026-02-02 15:38:07.818 - INFO -   已读取|Read: 31.00M 行|lines
2026-02-02 15:38:09.640 - INFO -   已读取|Read: 32.00M 行|lines
2026-02-02 15:38:11.446 - INFO -   已读取|Read: 33.00M 行|lines
2026-02-02 15:38:13.225 - INFO -   已读取|Read: 34.00M 行|lines
2026-02-02 15:38:15.003 - INFO -   已读取|Read: 35.00M 行|lines
2026-02-02 15:38:16.770 - INFO -   已读取|Read: 36.00M 行|lines
2026-02-02 15:38:18.534 - INFO -   已读取|Read: 37.00M 行|lines
2026-02-02 15:38:20.299 - INFO -   已读取|Read: 38.00M 行|lines
2026-02-02 15:38:22.060 - INFO -   已读取|Read: 39.00M 行|lines
2026-02-02 15:38:23.820 - INFO -   已读取|Read: 40.00M 行|lines
2026-02-02 15:38:26.245 - INFO -   已读取|Read: 41.00M 行|lines
2026-02-02 15:38:27.941 - INFO -   已读取|Read: 42.00M 行|lines
2026-02-02 15:38:29.640 - INFO -   已读取|Read: 43.00M 行|lines
2026-02-02 15:38:31.338 - INFO -   已读取|Read: 44.00M 行|lines
2026-02-02 15:38:33.037 - INFO -   已读取|Read: 45.00M 行|lines
2026-02-02 15:38:34.741 - INFO -   已读取|Read: 46.00M 行|lines
2026-02-02 15:38:36.446 - INFO -   已读取|Read: 47.00M 行|lines
2026-02-02 15:38:38.161 - INFO -   已读取|Read: 48.00M 行|lines
2026-02-02 15:38:39.866 - INFO -   已读取|Read: 49.00M 行|lines
2026-02-02 15:38:41.576 - INFO -   已读取|Read: 50.00M 行|lines
2026-02-02 15:38:43.293 - INFO -   已读取|Read: 51.00M 行|lines
2026-02-02 15:38:45.004 - INFO -   已读取|Read: 52.00M 行|lines
2026-02-02 15:38:46.707 - INFO -   已读取|Read: 53.00M 行|lines
2026-02-02 15:38:48.417 - INFO -   已读取|Read: 54.00M 行|lines
2026-02-02 15:38:50.124 - INFO -   已读取|Read: 55.00M 行|lines
2026-02-02 15:38:51.820 - INFO -   已读取|Read: 56.00M 行|lines
2026-02-02 15:38:53.545 - INFO -   已读取|Read: 57.00M 行|lines
2026-02-02 15:38:55.259 - INFO -   已读取|Read: 58.00M 行|lines
2026-02-02 15:38:56.970 - INFO -   已读取|Read: 59.00M 行|lines
2026-02-02 15:38:58.686 - INFO -   已读取|Read: 60.00M 行|lines
2026-02-02 15:39:00.399 - INFO -   已读取|Read: 61.00M 行|lines
2026-02-02 15:39:02.110 - INFO -   已读取|Read: 62.00M 行|lines
2026-02-02 15:39:03.814 - INFO -   已读取|Read: 63.00M 行|lines
2026-02-02 15:39:04.999 - INFO -   提取完成|Extracted: 63.69M 序列|sequences
2026-02-02 15:39:04.999 - INFO - 
2026-02-02 15:39:04.999 - INFO - ====================================================================================================
2026-02-02 15:39:04.999 - INFO -  步骤 2/4: 找出特有序列|Step 2/4: Find unique sequences
2026-02-02 15:39:04.999 - INFO - ====================================================================================================
2026-02-02 15:39:04.999 - INFO - 查找特有序列|Finding unique sequences...
2026-02-02 15:39:29.351 - INFO - 文件1特有序列|Unique sequences in file1: 70.73M
2026-02-02 15:39:29.351 - INFO - 文件2特有序列|Unique sequences in file2: 53.97M
2026-02-02 15:39:29.351 - INFO - 共同序列|Common sequences: 9.72M
2026-02-02 15:39:29.502 - INFO - 
2026-02-02 15:39:29.502 - INFO - ====================================================================================================
2026-02-02 15:39:29.502 - INFO -  步骤 3/4: 处理文件1并统计|Step 3/4: Process file 1 and calculate statistics
2026-02-02 15:39:29.502 - INFO - ====================================================================================================
2026-02-02 15:39:29.502 - INFO - 处理文件|Processing file: /share/org/YZWL/yzwl_lixg/project/06.longliuxing_BSA/68.三代数据组装和注释/55.全基因组kmer查询两个单倍型的kmer/hap1_group2_chr12_matrix.txt
2026-02-02 15:39:29.502 - INFO - 标注unique kmer并计算窗口统计|Labeling unique kmers and calculating window stats...
2026-02-02 15:39:41.989 - INFO -   已处理|Processed: 1.00M 行|lines
2026-02-02 15:39:55.408 - INFO -   已处理|Processed: 2.00M 行|lines
2026-02-02 15:40:11.483 - INFO -   已处理|Processed: 3.00M 行|lines
2026-02-02 15:40:27.242 - INFO -   已处理|Processed: 4.00M 行|lines
2026-02-02 15:40:42.008 - INFO -   已处理|Processed: 5.00M 行|lines
2026-02-02 15:40:57.054 - INFO -   已处理|Processed: 6.00M 行|lines
2026-02-02 15:41:11.852 - INFO -   已处理|Processed: 7.00M 行|lines
2026-02-02 15:41:26.618 - INFO -   已处理|Processed: 8.00M 行|lines
2026-02-02 15:41:41.321 - INFO -   已处理|Processed: 9.00M 行|lines
2026-02-02 15:41:56.210 - INFO -   已处理|Processed: 10.00M 行|lines
2026-02-02 15:42:10.919 - INFO -   已处理|Processed: 11.00M 行|lines
2026-02-02 15:42:24.844 - INFO -   已处理|Processed: 12.00M 行|lines
2026-02-02 15:42:39.557 - INFO -   已处理|Processed: 13.00M 行|lines
2026-02-02 15:42:54.604 - INFO -   已处理|Processed: 14.00M 行|lines
2026-02-02 15:43:09.161 - INFO -   已处理|Processed: 15.00M 行|lines
2026-02-02 15:43:23.656 - INFO -   已处理|Processed: 16.00M 行|lines
2026-02-02 15:43:35.333 - INFO -   已处理|Processed: 17.00M 行|lines
2026-02-02 15:43:49.626 - INFO -   已处理|Processed: 18.00M 行|lines
2026-02-02 15:44:04.315 - INFO -   已处理|Processed: 19.00M 行|lines
2026-02-02 15:44:19.212 - INFO -   已处理|Processed: 20.00M 行|lines
2026-02-02 15:44:33.547 - INFO -   已处理|Processed: 21.00M 行|lines
2026-02-02 15:44:48.310 - INFO -   已处理|Processed: 22.00M 行|lines
2026-02-02 15:45:02.778 - INFO -   已处理|Processed: 23.00M 行|lines
2026-02-02 15:45:16.572 - INFO -   已处理|Processed: 24.00M 行|lines
2026-02-02 15:45:31.064 - INFO -   已处理|Processed: 25.00M 行|lines
2026-02-02 15:45:45.709 - INFO -   已处理|Processed: 26.00M 行|lines
2026-02-02 15:46:00.650 - INFO -   已处理|Processed: 27.00M 行|lines
2026-02-02 15:46:15.384 - INFO -   已处理|Processed: 28.00M 行|lines
