2026-02-02 15:46:30.809 - INFO - ====================================================================================================
2026-02-02 15:46:30.811 - INFO -  Kmer矩阵比较工具|Kmer Matrix Comparison Tool
2026-02-02 15:46:30.811 - INFO - ====================================================================================================
2026-02-02 15:46:30.811 - INFO - 文件1|File1: /share/org/YZWL/yzwl_lixg/project/06.longliuxing_BSA/68.三代数据组装和注释/55.全基因组kmer查询两个单倍型的kmer/hap1_group2_chr12_matrix.txt
2026-02-02 15:46:30.811 - INFO - 文件2|File2: /share/org/YZWL/yzwl_lixg/project/06.longliuxing_BSA/68.三代数据组装和注释/55.全基因组kmer查询两个单倍型的kmer/hap2_group9_chr12_matrix.txt
2026-02-02 15:46:30.811 - INFO - 输出前缀|Output prefix: /share/org/YZWL/yzwl_lixg/project/06.longliuxing_BSA/68.三代数据组装和注释/55.全基因组kmer查询两个单倍型的kmer/滑窗统计/unique
2026-02-02 15:46:30.811 - INFO - 窗口大小|Window size: 100.00K
2026-02-02 15:46:30.811 - INFO - 
2026-02-02 15:46:30.811 - INFO - ====================================================================================================
2026-02-02 15:46:30.811 - INFO -  步骤 1/4: 提取kmer序列集合|Step 1/4: Extract kmer sequence sets
2026-02-02 15:46:30.811 - INFO - ====================================================================================================
2026-02-02 15:46:30.811 - INFO - 提取kmer序列|Extracting kmer sequences: /share/org/YZWL/yzwl_lixg/project/06.longliuxing_BSA/68.三代数据组装和注释/55.全基因组kmer查询两个单倍型的kmer/hap1_group2_chr12_matrix.txt
2026-02-02 15:48:31.725 - INFO -   已读取|Read: 69.00M 行|lines
2026-02-02 15:48:33.412 - INFO -   已读取|Read: 70.00M 行|lines
2026-02-02 15:48:35.104 - INFO -   已读取|Read: 71.00M 行|lines
2026-02-02 15:48:36.818 - INFO -   已读取|Read: 72.00M 行|lines
2026-02-02 15:48:38.540 - INFO -   已读取|Read: 73.00M 行|lines
2026-02-02 15:48:40.231 - INFO -   已读取|Read: 74.00M 行|lines
2026-02-02 15:48:41.933 - INFO -   已读取|Read: 75.00M 行|lines
2026-02-02 15:48:43.625 - INFO -   已读取|Read: 76.00M 行|lines
2026-02-02 15:48:45.295 - INFO -   已读取|Read: 77.00M 行|lines
2026-02-02 15:48:47.010 - INFO -   已读取|Read: 78.00M 行|lines
2026-02-02 15:48:48.748 - INFO -   已读取|Read: 79.00M 行|lines
2026-02-02 15:48:50.490 - INFO -   已读取|Read: 80.00M 行|lines
2026-02-02 15:48:51.281 - INFO -   提取完成|Extracted: 80.45M 序列|sequences
2026-02-02 15:48:51.281 - INFO - 提取kmer序列|Extracting kmer sequences: /share/org/YZWL/yzwl_lixg/project/06.longliuxing_BSA/68.三代数据组装和注释/55.全基因组kmer查询两个单倍型的kmer/hap2_group9_chr12_matrix.txt
2026-02-02 15:48:52.996 - INFO -   已读取|Read: 1.00M 行|lines
2026-02-02 15:48:54.700 - INFO -   已读取|Read: 2.00M 行|lines
2026-02-02 15:48:56.421 - INFO -   已读取|Read: 3.00M 行|lines
2026-02-02 15:48:58.137 - INFO -   已读取|Read: 4.00M 行|lines
2026-02-02 15:48:59.899 - INFO -   已读取|Read: 5.00M 行|lines
2026-02-02 15:49:01.746 - INFO -   已读取|Read: 6.00M 行|lines
2026-02-02 15:49:03.487 - INFO -   已读取|Read: 7.00M 行|lines
2026-02-02 15:49:05.244 - INFO -   已读取|Read: 8.00M 行|lines
2026-02-02 15:49:06.990 - INFO -   已读取|Read: 9.00M 行|lines
2026-02-02 15:49:08.743 - INFO -   已读取|Read: 10.00M 行|lines
2026-02-02 15:49:10.660 - INFO -   已读取|Read: 11.00M 行|lines
2026-02-02 15:49:12.410 - INFO -   已读取|Read: 12.00M 行|lines
2026-02-02 15:49:14.168 - INFO -   已读取|Read: 13.00M 行|lines
2026-02-02 15:49:15.929 - INFO -   已读取|Read: 14.00M 行|lines
2026-02-02 15:49:17.707 - INFO -   已读取|Read: 15.00M 行|lines
2026-02-02 15:49:19.473 - INFO -   已读取|Read: 16.00M 行|lines
2026-02-02 15:49:21.215 - INFO -   已读取|Read: 17.00M 行|lines
2026-02-02 15:49:22.983 - INFO -   已读取|Read: 18.00M 行|lines
2026-02-02 15:49:24.756 - INFO -   已读取|Read: 19.00M 行|lines
2026-02-02 15:49:26.509 - INFO -   已读取|Read: 20.00M 行|lines
2026-02-02 15:49:28.608 - INFO -   已读取|Read: 21.00M 行|lines
2026-02-02 15:49:30.354 - INFO -   已读取|Read: 22.00M 行|lines
2026-02-02 15:49:32.087 - INFO -   已读取|Read: 23.00M 行|lines
2026-02-02 15:49:33.832 - INFO -   已读取|Read: 24.00M 行|lines
2026-02-02 15:49:35.581 - INFO -   已读取|Read: 25.00M 行|lines
2026-02-02 15:49:37.396 - INFO -   已读取|Read: 26.00M 行|lines
2026-02-02 15:49:39.156 - INFO -   已读取|Read: 27.00M 行|lines
2026-02-02 15:49:40.912 - INFO -   已读取|Read: 28.00M 行|lines
2026-02-02 15:49:42.673 - INFO -   已读取|Read: 29.00M 行|lines
2026-02-02 15:49:44.441 - INFO -   已读取|Read: 30.00M 行|lines
2026-02-02 15:49:46.197 - INFO -   已读取|Read: 31.00M 行|lines
2026-02-02 15:49:47.946 - INFO -   已读取|Read: 32.00M 行|lines
2026-02-02 15:49:49.703 - INFO -   已读取|Read: 33.00M 行|lines
2026-02-02 15:49:51.456 - INFO -   已读取|Read: 34.00M 行|lines
2026-02-02 15:49:53.223 - INFO -   已读取|Read: 35.00M 行|lines
2026-02-02 15:49:54.986 - INFO -   已读取|Read: 36.00M 行|lines
2026-02-02 15:49:56.748 - INFO -   已读取|Read: 37.00M 行|lines
2026-02-02 15:49:58.503 - INFO -   已读取|Read: 38.00M 行|lines
2026-02-02 15:50:00.261 - INFO -   已读取|Read: 39.00M 行|lines
2026-02-02 15:50:02.020 - INFO -   已读取|Read: 40.00M 行|lines
2026-02-02 15:50:04.434 - INFO -   已读取|Read: 41.00M 行|lines
2026-02-02 15:50:06.175 - INFO -   已读取|Read: 42.00M 行|lines
2026-02-02 15:50:07.915 - INFO -   已读取|Read: 43.00M 行|lines
2026-02-02 15:50:09.654 - INFO -   已读取|Read: 44.00M 行|lines
2026-02-02 15:50:11.411 - INFO -   已读取|Read: 45.00M 行|lines
2026-02-02 15:50:13.160 - INFO -   已读取|Read: 46.00M 行|lines
2026-02-02 15:50:14.905 - INFO -   已读取|Read: 47.00M 行|lines
2026-02-02 15:50:16.652 - INFO -   已读取|Read: 48.00M 行|lines
2026-02-02 15:50:18.387 - INFO -   已读取|Read: 49.00M 行|lines
2026-02-02 15:50:20.135 - INFO -   已读取|Read: 50.00M 行|lines
2026-02-02 15:50:21.890 - INFO -   已读取|Read: 51.00M 行|lines
2026-02-02 15:50:23.636 - INFO -   已读取|Read: 52.00M 行|lines
2026-02-02 15:50:25.392 - INFO -   已读取|Read: 53.00M 行|lines
2026-02-02 15:50:27.161 - INFO -   已读取|Read: 54.00M 行|lines
2026-02-02 15:50:28.911 - INFO -   已读取|Read: 55.00M 行|lines
2026-02-02 15:50:30.644 - INFO -   已读取|Read: 56.00M 行|lines
2026-02-02 15:50:32.394 - INFO -   已读取|Read: 57.00M 行|lines
2026-02-02 15:50:34.144 - INFO -   已读取|Read: 58.00M 行|lines
2026-02-02 15:50:35.902 - INFO -   已读取|Read: 59.00M 行|lines
2026-02-02 15:50:37.666 - INFO -   已读取|Read: 60.00M 行|lines
2026-02-02 15:50:39.421 - INFO -   已读取|Read: 61.00M 行|lines
2026-02-02 15:50:41.178 - INFO -   已读取|Read: 62.00M 行|lines
2026-02-02 15:50:42.944 - INFO -   已读取|Read: 63.00M 行|lines
2026-02-02 15:50:44.158 - INFO -   提取完成|Extracted: 63.69M 序列|sequences
2026-02-02 15:50:44.158 - INFO - 
2026-02-02 15:50:44.158 - INFO - ====================================================================================================
2026-02-02 15:50:44.158 - INFO -  步骤 2/4: 找出特有序列|Step 2/4: Find unique sequences
2026-02-02 15:50:44.158 - INFO - ====================================================================================================
2026-02-02 15:50:44.158 - INFO - 查找特有序列|Finding unique sequences...
2026-02-02 15:51:00.057 - INFO - 文件1特有序列|Unique sequences in file1: 70.73M
2026-02-02 15:51:00.057 - INFO - 文件2特有序列|Unique sequences in file2: 53.97M
2026-02-02 15:51:00.057 - INFO - 共同序列|Common sequences: 9.72M
2026-02-02 15:51:00.207 - INFO - 
2026-02-02 15:51:00.207 - INFO - ====================================================================================================
2026-02-02 15:51:00.207 - INFO -  步骤 3/4: 处理文件1并统计|Step 3/4: Process file 1 and calculate statistics
2026-02-02 15:51:00.207 - INFO - ====================================================================================================
2026-02-02 15:51:00.207 - INFO - 处理文件|Processing file: /share/org/YZWL/yzwl_lixg/project/06.longliuxing_BSA/68.三代数据组装和注释/55.全基因组kmer查询两个单倍型的kmer/hap1_group2_chr12_matrix.txt
2026-02-02 15:51:00.207 - INFO - 标注unique kmer并计算窗口统计|Labeling unique kmers and calculating window stats...
2026-02-02 15:51:12.711 - INFO -   已处理|Processed: 1.00M 行|lines
2026-02-02 15:51:26.090 - INFO -   已处理|Processed: 2.00M 行|lines
2026-02-02 15:51:42.051 - INFO -   已处理|Processed: 3.00M 行|lines
2026-02-02 15:51:57.750 - INFO -   已处理|Processed: 4.00M 行|lines
2026-02-02 15:52:12.419 - INFO -   已处理|Processed: 5.00M 行|lines
2026-02-02 15:52:27.396 - INFO -   已处理|Processed: 6.00M 行|lines
2026-02-02 15:52:42.134 - INFO -   已处理|Processed: 7.00M 行|lines
2026-02-02 15:52:56.832 - INFO -   已处理|Processed: 8.00M 行|lines
2026-02-02 15:53:11.553 - INFO -   已处理|Processed: 9.00M 行|lines
2026-02-02 15:53:26.395 - INFO -   已处理|Processed: 10.00M 行|lines
2026-02-02 15:53:40.994 - INFO -   已处理|Processed: 11.00M 行|lines
2026-02-02 15:53:54.905 - INFO -   已处理|Processed: 12.00M 行|lines
2026-02-02 15:54:09.622 - INFO -   已处理|Processed: 13.00M 行|lines
2026-02-02 15:54:24.734 - INFO -   已处理|Processed: 14.00M 行|lines
2026-02-02 15:54:39.201 - INFO -   已处理|Processed: 15.00M 行|lines
2026-02-02 15:54:53.617 - INFO -   已处理|Processed: 16.00M 行|lines
2026-02-02 15:55:05.386 - INFO -   已处理|Processed: 17.00M 行|lines
2026-02-02 15:55:19.721 - INFO -   已处理|Processed: 18.00M 行|lines
2026-02-02 15:55:34.309 - INFO -   已处理|Processed: 19.00M 行|lines
2026-02-02 15:55:49.095 - INFO -   已处理|Processed: 20.00M 行|lines
2026-02-02 15:56:03.363 - INFO -   已处理|Processed: 21.00M 行|lines
2026-02-02 15:56:18.126 - INFO -   已处理|Processed: 22.00M 行|lines
2026-02-02 15:56:32.709 - INFO -   已处理|Processed: 23.00M 行|lines
2026-02-02 15:56:46.556 - INFO -   已处理|Processed: 24.00M 行|lines
2026-02-02 15:57:00.946 - INFO -   已处理|Processed: 25.00M 行|lines
2026-02-02 15:57:15.480 - INFO -   已处理|Processed: 26.00M 行|lines
2026-02-02 15:57:30.424 - INFO -   已处理|Processed: 27.00M 行|lines
2026-02-02 15:57:45.274 - INFO -   已处理|Processed: 28.00M 行|lines
2026-02-02 15:57:58.773 - INFO -   已处理|Processed: 29.00M 行|lines
2026-02-02 15:58:13.265 - INFO -   已处理|Processed: 30.00M 行|lines
2026-02-02 15:58:26.302 - INFO -   已处理|Processed: 31.00M 行|lines
2026-02-02 15:58:40.105 - INFO -   已处理|Processed: 32.00M 行|lines
2026-02-02 15:58:54.010 - INFO -   已处理|Processed: 33.00M 行|lines
2026-02-02 15:59:02.076 - INFO -   已处理|Processed: 34.00M 行|lines
2026-02-02 15:59:16.471 - INFO -   已处理|Processed: 35.00M 行|lines
2026-02-02 15:59:31.363 - INFO -   已处理|Processed: 36.00M 行|lines
2026-02-02 15:59:46.329 - INFO -   已处理|Processed: 37.00M 行|lines
2026-02-02 15:59:59.136 - INFO -   已处理|Processed: 38.00M 行|lines
2026-02-02 16:00:14.295 - INFO -   已处理|Processed: 39.00M 行|lines
2026-02-02 16:00:29.418 - INFO -   已处理|Processed: 40.00M 行|lines
2026-02-02 16:00:40.458 - INFO -   已处理|Processed: 41.00M 行|lines
2026-02-02 16:00:49.070 - INFO -   已处理|Processed: 42.00M 行|lines
2026-02-02 16:00:59.143 - INFO -   已处理|Processed: 43.00M 行|lines
2026-02-02 16:01:13.568 - INFO -   已处理|Processed: 44.00M 行|lines
2026-02-02 16:01:25.341 - INFO -   已处理|Processed: 45.00M 行|lines
2026-02-02 16:01:36.043 - INFO -   已处理|Processed: 46.00M 行|lines
2026-02-02 16:01:50.542 - INFO -   已处理|Processed: 47.00M 行|lines
2026-02-02 16:02:04.878 - INFO -   已处理|Processed: 48.00M 行|lines
2026-02-02 16:02:16.846 - INFO -   已处理|Processed: 49.00M 行|lines
2026-02-02 16:02:32.291 - INFO -   已处理|Processed: 50.00M 行|lines
2026-02-02 16:02:47.271 - INFO -   已处理|Processed: 51.00M 行|lines
2026-02-02 16:03:02.343 - INFO -   已处理|Processed: 52.00M 行|lines
2026-02-02 16:03:17.303 - INFO -   已处理|Processed: 53.00M 行|lines
2026-02-02 16:03:32.898 - INFO -   已处理|Processed: 54.00M 行|lines
2026-02-02 16:03:46.563 - INFO -   已处理|Processed: 55.00M 行|lines
2026-02-02 16:04:02.247 - INFO -   已处理|Processed: 56.00M 行|lines
2026-02-02 16:04:17.510 - INFO -   已处理|Processed: 57.00M 行|lines
2026-02-02 16:04:32.785 - INFO -   已处理|Processed: 58.00M 行|lines
2026-02-02 16:04:48.318 - INFO -   已处理|Processed: 59.00M 行|lines
2026-02-02 16:05:03.731 - INFO -   已处理|Processed: 60.00M 行|lines
2026-02-02 16:05:18.737 - INFO -   已处理|Processed: 61.00M 行|lines
2026-02-02 16:05:33.913 - INFO -   已处理|Processed: 62.00M 行|lines
2026-02-02 16:05:49.069 - INFO -   已处理|Processed: 63.00M 行|lines
2026-02-02 16:06:04.267 - INFO -   已处理|Processed: 64.00M 行|lines
2026-02-02 16:06:29.969 - INFO -   已处理|Processed: 65.00M 行|lines
2026-02-02 16:06:44.062 - INFO -   已处理|Processed: 66.00M 行|lines
2026-02-02 16:06:59.125 - INFO -   已处理|Processed: 67.00M 行|lines
2026-02-02 16:07:14.414 - INFO -   已处理|Processed: 68.00M 行|lines
2026-02-02 16:07:30.056 - INFO -   已处理|Processed: 69.00M 行|lines
2026-02-02 16:07:45.681 - INFO -   已处理|Processed: 70.00M 行|lines
2026-02-02 16:08:01.077 - INFO -   已处理|Processed: 71.00M 行|lines
2026-02-02 16:08:16.495 - INFO -   已处理|Processed: 72.00M 行|lines
2026-02-02 16:08:32.427 - INFO -   已处理|Processed: 73.00M 行|lines
2026-02-02 16:08:47.787 - INFO -   已处理|Processed: 74.00M 行|lines
2026-02-02 16:09:03.284 - INFO -   已处理|Processed: 75.00M 行|lines
2026-02-02 16:09:18.693 - INFO -   已处理|Processed: 76.00M 行|lines
2026-02-02 16:09:34.203 - INFO -   已处理|Processed: 77.00M 行|lines
2026-02-02 16:09:45.784 - INFO -   已处理|Processed: 78.00M 行|lines
2026-02-02 16:09:48.041 - INFO -   已处理|Processed: 79.00M 行|lines
2026-02-02 16:10:03.284 - INFO -   已处理|Processed: 80.00M 行|lines
2026-02-02 16:10:09.438 - INFO -   处理完成|Processed: 80.45M 行|lines
2026-02-02 16:10:09.439 - INFO -   窗口数|Number of windows: 805
2026-02-02 16:10:09.439 - INFO - 写入统计结果|Writing statistics results: /share/org/YZWL/yzwl_lixg/project/06.longliuxing_BSA/68.三代数据组装和注释/55.全基因组kmer查询两个单倍型的kmer/滑窗统计/unique_file1_stats.txt
2026-02-02 16:10:09.469 - INFO -   写入完成|Write completed: 805 窗口|windows
2026-02-02 16:10:09.470 - INFO - 
2026-02-02 16:10:09.470 - INFO - ====================================================================================================
2026-02-02 16:10:09.470 - INFO -  步骤 4/4: 处理文件2并统计|Step 4/4: Process file 2 and calculate statistics
2026-02-02 16:10:09.470 - INFO - ====================================================================================================
2026-02-02 16:10:09.470 - INFO - 处理文件|Processing file: /share/org/YZWL/yzwl_lixg/project/06.longliuxing_BSA/68.三代数据组装和注释/55.全基因组kmer查询两个单倍型的kmer/hap2_group9_chr12_matrix.txt
2026-02-02 16:10:09.470 - INFO - 标注unique kmer并计算窗口统计|Labeling unique kmers and calculating window stats...
2026-02-02 16:10:17.082 - INFO -   已处理|Processed: 1.00M 行|lines
2026-02-02 16:10:22.183 - INFO -   已处理|Processed: 2.00M 行|lines
2026-02-02 16:10:36.948 - INFO -   已处理|Processed: 3.00M 行|lines
2026-02-02 16:10:51.904 - INFO -   已处理|Processed: 4.00M 行|lines
2026-02-02 16:11:06.639 - INFO -   已处理|Processed: 5.00M 行|lines
2026-02-02 16:11:20.797 - INFO -   已处理|Processed: 6.00M 行|lines
2026-02-02 16:11:35.893 - INFO -   已处理|Processed: 7.00M 行|lines
2026-02-02 16:11:50.682 - INFO -   已处理|Processed: 8.00M 行|lines
2026-02-02 16:12:05.541 - INFO -   已处理|Processed: 9.00M 行|lines
2026-02-02 16:12:20.078 - INFO -   已处理|Processed: 10.00M 行|lines
2026-02-02 16:12:34.680 - INFO -   已处理|Processed: 11.00M 行|lines
2026-02-02 16:12:49.443 - INFO -   已处理|Processed: 12.00M 行|lines
2026-02-02 16:13:02.397 - INFO -   已处理|Processed: 13.00M 行|lines
2026-02-02 16:13:17.163 - INFO -   已处理|Processed: 14.00M 行|lines
2026-02-02 16:13:32.079 - INFO -   已处理|Processed: 15.00M 行|lines
2026-02-02 16:13:46.719 - INFO -   已处理|Processed: 16.00M 行|lines
2026-02-02 16:14:01.667 - INFO -   已处理|Processed: 17.00M 行|lines
2026-02-02 16:14:16.502 - INFO -   已处理|Processed: 18.00M 行|lines
2026-02-02 16:14:31.223 - INFO -   已处理|Processed: 19.00M 行|lines
2026-02-02 16:14:46.442 - INFO -   已处理|Processed: 20.00M 行|lines
2026-02-02 16:15:01.104 - INFO -   已处理|Processed: 21.00M 行|lines
2026-02-02 16:15:15.878 - INFO -   已处理|Processed: 22.00M 行|lines
2026-02-02 16:15:30.782 - INFO -   已处理|Processed: 23.00M 行|lines
2026-02-02 16:15:45.740 - INFO -   已处理|Processed: 24.00M 行|lines
2026-02-02 16:16:01.031 - INFO -   已处理|Processed: 25.00M 行|lines
2026-02-02 16:16:14.042 - INFO -   已处理|Processed: 26.00M 行|lines
2026-02-02 16:16:29.058 - INFO -   已处理|Processed: 27.00M 行|lines
2026-02-02 16:16:44.040 - INFO -   已处理|Processed: 28.00M 行|lines
2026-02-02 16:16:58.646 - INFO -   已处理|Processed: 29.00M 行|lines
2026-02-02 16:17:13.815 - INFO -   已处理|Processed: 30.00M 行|lines
2026-02-02 16:17:22.619 - INFO -   已处理|Processed: 31.00M 行|lines
2026-02-02 16:17:31.439 - INFO -   已处理|Processed: 32.00M 行|lines
2026-02-02 16:17:42.177 - INFO -   已处理|Processed: 33.00M 行|lines
2026-02-02 16:17:52.145 - INFO -   已处理|Processed: 34.00M 行|lines
2026-02-02 16:18:06.463 - INFO -   已处理|Processed: 35.00M 行|lines
2026-02-02 16:18:19.005 - INFO -   已处理|Processed: 36.00M 行|lines
2026-02-02 16:18:33.644 - INFO -   已处理|Processed: 37.00M 行|lines
2026-02-02 16:18:48.913 - INFO -   已处理|Processed: 38.00M 行|lines
2026-02-02 16:19:04.505 - INFO -   已处理|Processed: 39.00M 行|lines
2026-02-02 16:19:17.639 - INFO -   已处理|Processed: 40.00M 行|lines
2026-02-02 16:19:33.015 - INFO -   已处理|Processed: 41.00M 行|lines
2026-02-02 16:19:48.404 - INFO -   已处理|Processed: 42.00M 行|lines
2026-02-02 16:20:02.225 - INFO -   已处理|Processed: 43.00M 行|lines
2026-02-02 16:20:11.240 - INFO -   已处理|Processed: 44.00M 行|lines
2026-02-02 16:20:25.441 - INFO -   已处理|Processed: 45.00M 行|lines
2026-02-02 16:20:39.098 - INFO -   已处理|Processed: 46.00M 行|lines
2026-02-02 16:20:54.538 - INFO -   已处理|Processed: 47.00M 行|lines
2026-02-02 16:21:08.486 - INFO -   已处理|Processed: 48.00M 行|lines
2026-02-02 16:21:24.233 - INFO -   已处理|Processed: 49.00M 行|lines
2026-02-02 16:21:39.771 - INFO -   已处理|Processed: 50.00M 行|lines
2026-02-02 16:21:55.328 - INFO -   已处理|Processed: 51.00M 行|lines
2026-02-02 16:22:10.584 - INFO -   已处理|Processed: 52.00M 行|lines
2026-02-02 16:22:26.146 - INFO -   已处理|Processed: 53.00M 行|lines
2026-02-02 16:22:41.928 - INFO -   已处理|Processed: 54.00M 行|lines
2026-02-02 16:22:56.813 - INFO -   已处理|Processed: 55.00M 行|lines
2026-02-02 16:23:10.571 - INFO -   已处理|Processed: 56.00M 行|lines
2026-02-02 16:23:26.368 - INFO -   已处理|Processed: 57.00M 行|lines
2026-02-02 16:23:42.304 - INFO -   已处理|Processed: 58.00M 行|lines
2026-02-02 16:23:58.152 - INFO -   已处理|Processed: 59.00M 行|lines
